"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-25 ~ 2025-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","경상남도 창녕군 창녕읍 교리","981-2","0981","0002","현대맨션","59.4000","202504","30","5,600","가","1","개인","개인","1992","우포2로 1199","-","중개거래","경남 창녕군","25.05.15"
"31","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.7818","202504","30","69,000","108동","31","개인","개인","2013","일현로 97-11","-","직거래","-","25.05.14"
"32","충청남도 공주시 교동","167-1","0167","0001","공주교동대우","84.9790","202504","30","20,000","101","13","개인","기타","1999","무령로 169-5","-","직거래","-","25.05.13"
"33","인천광역시 남동구 간석동","519-4","0519","0004","한진","54.5100","202504","30","18,000","6","6","개인","개인","1981","경인로524번길 16","-","중개거래","인천 남동구","25.05.15"
"34","부산광역시 강서구 신호동","205-1","0205","0001","부산신호윌더하임","127.6390","202504","30","24,500","102","1","개인","개인","2005","신호산단3로 55","-","중개거래","부산 강서구","25.05.15"
"35","경상북도 경주시 안강읍 산대리","2380","2380","0000","안강우방타운2차","84.9950","202504","30","8,600","203","1","개인","개인","1993","구부랑길 74","-","중개거래","경북 경주시","25.05.14"
"36","경기도 평택시 팽성읍 안정리","136-3","0136","0003","맥심험프리스","82.8420","202504","30","21,700","-","9","개인","개인","2020","안정로13번길 36","-","중개거래","경기 평택시","25.05.15"
"37","경상북도 구미시 형곡동","74","0074","0000","구미형곡금호어울림포레1차","84.8407","202504","30","33,300","102","8","개인","법인","2017","신시로 119","-","중개거래","경북 구미시","25.05.15"
"38","전북특별자치도 익산시 마동","137-1","0137","0001","마동2단지","52.7300","202504","30","8,000","208","4","개인","개인","1985","고봉로 116","-","직거래","-","25.05.15"
"39","경상북도 포항시 북구 장성동","1608","1608","0000","현진에버빌2단지","84.9600","202504","30","22,400","204","16","개인","개인","2008","성실로 50","-","중개거래","경북 포항시 북구","25.05.15"
"40","경상남도 거제시 양정동","279","0279","0000","거제아이파크","84.9707","202504","30","15,500","110","2","개인","법인","2017","양정5길 36","-","중개거래","경남 거제시","25.05.16"
"41","전북특별자치도 군산시 산북동","3644","3644","0000","하나리움시티","59.9896","202504","30","11,200","110","8","개인","법인","2014","칠성7길 56","-","중개거래","전북 군산시","25.05.15"
"42","서울특별시 성북구 길음동","1281","1281","0000","길음뉴타운4단지(e편한세상)","59.8600","202504","30","80,500","409","5","개인","개인","2005","길음로 118","-","중개거래","서울 성북구","25.05.15"
"43","충청남도 당진시 대덕동","1808","1808","0000","한성필하우스","76.0261","202504","30","21,800","106동","4","개인","법인","2016","남부로 200","-","중개거래","충남 당진시","25.05.15"
