"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-25 ~ 2025-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"2970","경기도 광주시 역동","248","0248","0000","이편한세상광주역6단지","84.9788","202504","29","62,500","602","4","개인","개인","2016","순암로36번길 30","-","중개거래","경기 광주시","25.07.28"
"2971","인천광역시 연수구 옥련동","643-2","0643","0002","풍림","77.0000","202504","29","32,000","101","20","개인","개인","1998","비류대로186번길 21","-","중개거래","인천 미추홀구, 인천 연수구","25.07.30"
"2972","세종특별자치시  고운동","1705","1705","0000","가락마을5단지(유승한내들)","59.9013","202504","29","34,000","504동","12","개인","개인","2015","마음안로 34","-","중개거래","세종","25.07.29"
"2973","서울특별시 성북구 삼선동2가","425","0425","0000","삼선푸르지오","84.8800","202504","29","92,000","110","10","개인","개인","2008","보문로29다길 31","-","중개거래","서울 성북구","25.07.31"
"2974","세종특별자치시  다정동","960","0960","0000","가온마을1단지(힐스테이트)","74.9668","202504","29","60,000","112","3","개인","개인","2018","다정남로 22","-","중개거래","세종","25.07.30"
"2975","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","84.9200","202504","29","123,500","114","9","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 분당구, 경기 성남시 수정구","25.07.30"
"2976","세종특별자치시  다정동","916","0916","0000","가온마을3단지","75.5531","202504","29","57,000","313","8","개인","개인","2018","다정북로 109","-","중개거래","세종","25.07.25"
"2977","서울특별시 성동구 금호동1가","633","0633","0000","벽산","59.9000","202504","29","108,000","110","13","개인","개인","2001","금호로 100","-","중개거래","서울 성동구","25.07.30"
"2978","전북특별자치도 전주시 덕진구 장동","1086","1086","0000","호반베르디움더클래스","102.2006","202504","29","56,000","209","15","개인","개인","2014","출판로 87","-","중개거래","전북 전주시 덕진구","25.07.31"
"2979","광주광역시 북구 신용동","655","0655","0000","제일풍경채리버파크","67.4686","202504","29","41,000","101","12","개인","개인","2014","첨단연신로 216","-","중개거래","광주 북구","25.07.31"
"2980","경기도 수원시 팔달구 인계동","384","0384","0000","래미안노블클래스1단지","84.9900","202504","29","71,000","103","11","개인","개인","2009","권광로 246","-","중개거래","경기 수원시 영통구, 경기 수원시 팔달구","25.07.30"
"2981","서울특별시 강동구 고덕동","312","0312","0000","배재현대","84.9000","202504","29","130,000","104","13","개인","개인","1995","고덕로61길 37","-","중개거래","서울 강동구","25.07.31"
"2982","서울특별시 성북구 길음동","1279","1279","0000","길음뉴타운1단지(래미안길음1차)","84.9600","202504","29","98,500","111","11","개인","개인","2003","길음로9길 40","-","중개거래","서울 성북구","25.07.31"
"2983","전북특별자치도 부안군 부안읍 봉덕리","626-4","0626","0004","부안현대","59.8150","202504","29","8,000","101","2","개인","개인","1995","봉신길 19","-","직거래","-","25.05.28"
"2984","경상남도 양산시 중부동","156-4","0156","0004","스위트아파트","64.3640","202504","29","19,000","-","15","개인","개인","2018","일동7길 5","-","직거래","-","25.05.27"
"2985","제주특별자치도 제주시 건입동","1226-2","1226","0002","골드트리","74.2200","202504","29","26,000","-","9","개인","법인","2020","공덕길 1","-","직거래","-","25.05.26"
"2986","경기도 광주시 태전동","228","0228","0000","성원","84.6000","202504","29","35,000","108","12","개인","개인","1999","태봉로 50","-","중개거래","경기 광주시, 서울 송파구","25.05.27"
"2987","경기도 고양시 덕양구 토당동","930","0930","0000","대곡역롯데캐슬엘클라씨","84.9297","202504","29","75,500","102동","4","개인","개인","2022","토당로 140","-","중개거래","경기 고양시 덕양구, 서울 성동구","25.05.28"
"2988","경기도 수원시 권선구 권선동","1337","1337","0000","수원아이파크시티7단지","59.8800","202504","29","54,500","711","4","개인","개인","2016","덕영대로1190번길 100","-","중개거래","경기 수원시 권선구, 경기 수원시 장안구","25.05.27"
"2989","경상남도 거제시 일운면 소동리","927","0927","0000","스타힐스오션시티","59.9969","202504","29","13,800","102","11","개인","개인","2019","소동8길 11","-","중개거래","경남 거제시","25.05.29"
"2990","대구광역시 수성구 신매동","570","0570","0000","시지삼주한라협화","59.8800","202504","29","17,000","211","14","개인","개인","1994","신매로 91","-","중개거래","대구 수성구","25.05.26"
"2991","경기도 양주시 덕정동","235","0235","0000","봉우마을(주공5단지)","59.4700","202504","29","17,900","513","16","개인","개인","2000","고암길 354","-","중개거래","경기 양주시","25.05.27"
"2992","충청남도 아산시 실옥동","169-3","0169","0003","벽산","84.8300","202504","29","13,300","105","12","개인","개인","1996","문화로 33-10","-","중개거래","충남 아산시","25.05.27"
"2993","경상남도 사천시 용강동","717","0717","0000","경상누리","56.4100","202504","29","5,000","-","4","개인","개인","2001","강청길 48","-","중개거래","경남 사천시","25.05.27"
"2994","경기도 의정부시 신곡동","817","0817","0000","e편한세상신곡포레스타뷰","74.6032","202504","29","40,000","109동","14","개인","개인","2020","금신로 276","-","직거래","-","25.05.26"
"2995","인천광역시 남동구 구월동","258","0258","0000","팬더","84.9200","202504","29","29,800","6","11","개인","개인","1991","인주대로662번길 32","-","중개거래","인천 남동구","25.05.28"
"2996","경기도 광주시 고산동","654","0654","0000","더샵오포센트럴포레","76.9500","202504","29","56,800","108동","5","개인","개인","2022","태성1로 16","-","중개거래","경기 광주시","25.05.23"
"2997","경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","84.9000","202504","29","26,900","106","7","개인","개인","2005","내동로348번길 10","-","중개거래","경남 진주시","25.05.28"
"2998","경기도 용인시 처인구 남사읍 완장리","952","0952","0000","e편한세상용인한숲시티4단지","65.4740","202504","29","34,000","401동","3","개인","개인","2018","한숲로 124","-","중개거래","서울 서초구","25.05.27"
"2999","충청남도 공주시 금흥동","259","0259","0000","새뜸현대4","59.5950","202504","29","19,400","406","23","개인","개인","1999","신금1길 98","-","중개거래","충남 공주시","25.05.29"
"3000","경기도 김포시 운양동","1434","1434","0000","전원마을(월드6차4단지)","134.9500","202504","29","36,000","403","1","개인","개인","2000","김포한강11로 158","-","중개거래","경기 김포시","25.05.27"
"3001","대구광역시 달서구 상인동","1598","1598","0000","상인푸르지오","59.6990","202504","29","24,000","103","7","개인","개인","2010","상화로 235","-","중개거래","대구 달서구","25.05.27"
"3002","경기도 부천시 원미구 상동","531-4","0531","0004","스타팰리스2","75.6000","202504","29","34,000","-","16","개인","개인","2004","길주로 63","-","중개거래","경기 부천시 원미구","25.05.27"
"3003","서울특별시 송파구 잠실동","101-1","0101","0001","우성아파트","131.0800","202504","29","261,000","17","5","개인","개인","1981","올림픽로4길 42","-","중개거래","서울 동작구","25.05.27"
"3004","대전광역시 서구 도안동","966","0966","0000","한라비발디","84.9025","202504","29","52,700","105","4","개인","개인","2011","도안북로 136","-","중개거래","대전 서구","25.05.27"
"3005","충청북도 청주시 흥덕구 문암동","213","0213","0000","청주테크노폴리스신영지웰푸르지오","84.8235","202504","29","51,800","109","9","개인","개인","2022","송화로 229","-","중개거래","충북 청주시 흥덕구","25.05.28"
"3006","경기도 남양주시 오남읍 오남리","683-5","0683","0005","진주(1차)","39.9600","202504","29","9,700","1","3","개인","개인","1988","진건오남로 631","-","중개거래","경기 남양주시","25.05.27"
"3007","경기도 이천시 부발읍 신하리","394-31","0394","0031","로얄1동","59.4000","202504","29","7,700","1","1","개인","개인","1992","경충대로2257번길 29","-","중개거래","경기 이천시","25.05.26"
"3008","부산광역시 동래구 안락동","962","0962","0000","화목","134.8200","202504","29","36,300","103","10","개인","개인","1990","충렬사로 39","-","중개거래","부산 동래구","25.05.27"
"3009","서울특별시 구로구 구로동","752-15","0752","0015","(752-15)","24.0500","202504","29","12,000","-","1","개인","법인","1999","구로동로22길 76-10","-","중개거래","서울 구로구","25.05.27"
"3010","전라남도 순천시 해룡면 신대리","1970","1970","0000","중흥에코시티7단지","59.7070","202504","29","27,900","703동","21","개인","개인","2018","좌야로 150","-","중개거래","전남 순천시","25.05.26"
"3011","울산광역시 북구 화봉동","639-1","0639","0001","효성.삼환아파트","59.9850","202504","29","16,500","104","12","개인","개인","1996","통샘10길 9","-","중개거래","울산 북구","25.05.27"
"3012","전라남도 순천시 연향동","1746","1746","0000","송보파인빌","84.6930","202504","29","29,400","106동","10","개인","개인","2015","구암3길 22","-","중개거래","전남 순천시","25.05.26"
"3013","경기도 안산시 단원구 고잔동","781","0781","0000","푸르지오1차","146.8944","202504","29","75,027","109","13","개인","법인","2001","광덕동로 26","-","직거래","-","25.05.26"
"3014","경기도 연천군 전곡읍 전곡리","263","0263","0000","조흥","77.3800","202504","29","5,500","3","5","개인","개인","1992","밤골로 7","-","중개거래","경기 연천군","25.05.21"
"3015","인천광역시 중구 운서동","2708-8","2708","0008","풍림아이원6-2단지","59.9919","202504","29","19,700","625","2","개인","개인","2002","신도시북로 68","-","중개거래","인천 중구","25.05.23"
"3016","인천광역시 남동구 간석동","616-13","0616","0013","현광","63.4500","202504","29","15,000","나","2","개인","개인","1990","경원대로939번길 45","-","중개거래","인천 남동구","25.05.26"
"3017","인천광역시 계양구 병방동","432-5","0432","0005","학마을서해","59.7900","202504","29","32,500","109","13","개인","개인","1997","장제로 878","-","중개거래","인천 계양구","25.05.23"
"3018","강원특별자치도 원주시 태장동","580","0580","0000","금광포란재1단지","84.9610","202504","29","17,500","108","13","개인","개인","2006","포란재로 36","-","중개거래","강원 원주시","25.05.23"
"3019","경상남도 사천시 벌리동","259","0259","0000","벌리주공2단지","37.6700","202504","29","5,300","202","7","개인","개인","1995","주공1길 50","-","중개거래","경남 사천시","25.05.26"
"3020","경기도 군포시 산본동","1155","1155","0000","가야주공","51.5900","202504","29","37,000","505","12","개인","개인","1993","번영로 403","-","중개거래","경기 군포시","25.05.23"
"3021","경상남도 창원시 진해구 용원동","1338-2","1338","0002","부산신항만이지더원1단지","59.9276","202504","29","19,000","101","18","개인","개인","2014","신항동로 143","-","중개거래","경남 창원시 진해구","25.05.26"
"3022","경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.9950","202504","29","69,900","-","7","개인","개인","2012","순화궁로 18","20250523","중개거래","경기 남양주시","-"
"3023","울산광역시 울주군 온양읍 대안리","542","0542","0000","대안IPARK","59.9250","202504","29","11,200","104","8","개인","개인","1993","남창강변로 93","-","중개거래","울산 울주군","25.05.26"
"3024","충청남도 당진시 채운동","1124","1124","0000","채운공원휴먼빌","84.6905","202504","29","15,900","103","11","개인","개인","2009","백암로 219-64","-","중개거래","충남 당진시","25.05.26"
"3025","충청북도 충주시 연수동","930","0930","0000","세원","53.5800","202504","29","7,300","104","3","개인","개인","1991","번영대로 120","-","중개거래","충북 충주시","25.05.23"
"3026","강원특별자치도 강릉시 내곡동","75-4","0075","0004","내곡시영","46.6800","202504","29","6,500","101","5","개인","개인","1990","남산초교길 22","-","중개거래","강원 강릉시","25.05.23"
"3027","충청북도 청주시 청원구 율량동","1263","1263","0000","율량효성2","59.8600","202504","29","11,500","-","2","개인","개인","1997","사뜸로 62","20250529","중개거래","충북 청주시 청원구","-"
"3028","울산광역시 울주군 서생면 진하리","73-3","0073","0003","진하비치","68.7000","202504","29","9,500","-","1","개인","개인","1993","진하8길 25","-","직거래","-","25.05.26"
"3029","대전광역시 유성구 송강동","200-4","0200","0004","한마을","132.6700","202504","29","35,000","111","15","개인","개인","1999","구즉로 16","-","중개거래","대전 유성구","25.05.26"
"3030","울산광역시 동구 서부동","238-29","0238","0029","현대패밀리명덕","59.7800","202504","29","11,500","103","8","개인","개인","1992","명덕로 30","-","중개거래","울산 동구","25.05.26"
"3031","전북특별자치도 전주시 완산구 서신동","1044","1044","0000","서신아이파크이편한세상","84.9881","202504","29","58,500","110","10","개인","개인","2020","전주천서로 445","-","중개거래","전북 전주시 완산구","25.05.26"
"3032","울산광역시 남구 옥동","129-6","0129","0006","대공원현대","68.7150","202504","29","28,000","102","4","개인","법인","1992","대공원로115번길 10","-","중개거래","울산 남구","25.05.26"
"3033","울산광역시 중구 학성동","356","0356","0000","학성동파크디아채","84.9853","202504","29","34,000","-","16","개인","개인","2019","학성로 218","20250528","중개거래","울산 중구","-"
"3034","충청남도 천안시 서북구 직산읍 삼은리","70","0070","0000","직산한도","44.3250","202504","29","8,000","102","14","개인","개인","1993","직산로 24","-","직거래","-","25.05.23"
"3035","제주특별자치도 제주시 이도이동","1020-6","1020","0006","뜨래별3차","81.1206","202504","29","30,000","-","5","개인","개인","2011","고산동산6길 23","-","중개거래","제주 제주시","25.05.23"
"3036","광주광역시 북구 오치동","940-1","0940","0001","대화아파트","59.3100","202504","29","6,600","1","13","개인","개인","1991","오산정길 15","-","중개거래","광주 북구","25.05.23"
"3037","울산광역시 울주군 범서읍 천상리","578","0578","0000","청구(천상그린타운)1차","59.8400","202504","29","12,000","103","3","개인","법인","1998","평천길 94","-","중개거래","대구 동구","25.05.23"
"3038","울산광역시 남구 옥동","257","0257","0000","옥동서광","59.9800","202504","29","43,000","102","8","개인","개인","1998","문수로314번길 11","-","중개거래","부산 해운대구, 울산 남구","25.05.23"
"3039","전북특별자치도 김제시 신풍동","452","0452","0000","새한","59.7600","202504","29","6,000","-","14","개인","개인","1993","금성2길 12","-","직거래","-","25.05.26"
"3040","충청북도 보은군 보은읍 장신리","183","0183","0000","보은신한헤센","74.9690","202504","29","17,700","107동","7","개인","법인","2018","보청대로 1966","-","중개거래","충북 보은군","25.05.26"
"3041","경기도 평택시 이충동","693","0693","0000","휴먼시아추담마을","84.9100","202504","29","28,000","406","13","개인","개인","2007","이충로 16","-","중개거래","경기 평택시","25.05.22"
"3042","서울특별시 양천구 신월동","514-3","0514","0003","해태","84.9300","202504","29","57,500","-","13","개인","개인","1999","월정로 21","20250516","중개거래","서울 양천구, 서울 영등포구","-"
"3043","부산광역시 사상구 모라동","314","0314","0000","화인","59.9400","202504","29","12,000","102동","10","개인","개인","1995","백양대로934번길 52-6","-","중개거래","부산 사상구","25.05.23"
"3044","전북특별자치도 전주시 완산구 서서학동","978-6","0978","0006","대아청산","59.9700","202504","29","6,500","가","2","개인","개인","1993","흑석1길 88","-","중개거래","전북 전주시 완산구","25.05.23"
"3045","광주광역시 북구 문흥동","1011-1","1011","0001","중흥파크맨션2","59.9700","202504","29","12,325","205","14","개인","개인","1994","문산로 30","-","중개거래","광주 북구","25.05.22"
"3046","경기도 용인시 수지구 풍덕천동","1104","1104","0000","용인수지신정마을9단지","49.2600","202504","29","65,000","-","13","개인","개인","2000","풍덕천로 76","20250528","중개거래","경기 성남시 중원구, 경기 용인시 수지구","-"
"3047","경기도 수원시 권선구 곡반정동","654","0654","0000","수원하늘채더퍼스트2단지","84.9600","202504","29","65,000","220","2","개인","개인","2022","망포로 14","-","중개거래","경기 안산시 단원구","25.05.22"
"3048","전라남도 무안군 삼향읍 남악리","2072","2072","0000","오룡마을휴먼시아","84.8500","202504","29","17,600","205","9","개인","개인","2009","남악2로74번길 13","-","중개거래","전남 무안군","25.05.23"
"3049","경상남도 창원시 성산구 상남동","45-1","0045","0001","성원","59.9700","202504","29","19,700","201","23","개인","개인","1994","원이대로 774","-","중개거래","경남 창원시 성산구","25.05.23"
"3050","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9803","202504","29","22,000","207","13","개인","개인","2013","정관3로 23","-","중개거래","부산 기장군","25.05.23"
"3051","전북특별자치도 전주시 완산구 효자동3가","1482-1","1482","0001","서곡주공","59.8900","202504","29","13,800","101","4","개인","개인","2000","서곡로 8","-","중개거래","인천 미추홀구, 전북 전주시 완산구","25.05.23"
"3052","경상남도 양산시 신기동","508-3","0508","0003","신기주공","38.6400","202504","29","7,200","107","4","개인","개인","1993","신기서길 23","-","중개거래","경남 양산시","25.05.23"
"3053","전라남도 화순군 화순읍 교리","200-1","0200","0001","유창허니문맨션1","78.5400","202504","29","11,000","1","8","개인","개인","1991","대교로 18","-","직거래","-","25.05.26"
"3054","인천광역시 미추홀구 숭의동","118-7","0118","0007","금강아파트","49.7600","202504","29","15,600","-","3","개인","개인","2015","경인로 88","-","중개거래","인천 미추홀구","25.05.22"
"3055","전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202504","29","30,000","-","8","개인","개인","2019","서문길 15-4","20250911","중개거래","전남 강진군","-"
"3056","부산광역시 북구 만덕동","911-3","0911","0003","럭키2","84.9400","202504","29","17,800","201","8","개인","개인","1992","덕천로234번길 34","-","중개거래","부산 북구","25.07.28"
"3057","서울특별시 양천구 신정동","1307","1307","0000","경남아너스빌","96.8300","202504","29","127,500","1504","1","개인","개인","2004","목동동로10길 16-6","-","중개거래","서울 양천구","25.07.30"
"3058","서울특별시 용산구 문배동","24-4","0024","0004","용산큐브","13.0100","202504","29","18,000","-","19","개인","개인","2013","백범로90길 12","-","중개거래","서울 용산구","25.05.22"
"3059","경기도 성남시 분당구 야탑동","334","0334","0000","장미마을(현대)","41.7600","202504","29","63,000","836","14","개인","개인","1993","장미로 101","-","중개거래","경기 성남시 분당구","25.07.28"
"3060","인천광역시 계양구 작전동","64-1","0064","0001","삼보","59.8800","202504","29","21,000","103","7","개인","개인","1994","주부토로472번길 36","-","중개거래","인천 계양구","25.07.30"
"3061","대구광역시 달서구 상인동","1592","1592","0000","시영장미4","43.2000","202504","29","8,000","401","8","개인","개인","1993","상화로 380","-","중개거래","대구 달서구","25.07.30"
"3062","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202504","29","45,000","105","14","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","25.07.29"
"3063","서울특별시 영등포구 당산동","376","0376","0000","강변래미안","108.1500","202504","29","157,500","312","11","개인","개인","2002","버드나루로 130","-","중개거래","서울 영등포구","25.07.30"
"3064","경기도 수원시 영통구 영통동","1166","1166","0000","청명센트레빌","84.9466","202504","29","60,000","101","8","개인","개인","2013","영통로525번길 35","-","중개거래","경기 수원시 영통구","25.07.31"
"3065","울산광역시 남구 삼산동","1529-2","1529","0002","대우푸르지오","121.9179","202504","29","54,500","105","9","개인","개인","2004","돋질로339번길 35","-","중개거래","울산 남구","25.07.30"
"3066","서울특별시 영등포구 신길동","4958","4958","0000","보라매에스케이뷰","59.9800","202504","29","134,000","113","6","개인","개인","2020","여의대방로35가길 19","-","중개거래","경기 광명시, 서울 영등포구","25.07.30"
"3067","경기도 용인시 처인구 역북동","721-1","0721","0001","신성","59.9900","202504","29","32,200","107","12","개인","개인","1998","명지로 15-5","-","중개거래","경기 광주시, 경기 용인시 처인구","25.07.30"
"3068","인천광역시 서구 석남동","532","0532","0000","금호어울림","84.8003","202504","29","37,000","103","4","개인","개인","2007","가정로223번길 28","-","중개거래","인천 서구","25.07.29"
"3069","경상북도 구미시 옥계동","617","0617","0000","옥계부영2차","85.3500","202504","29","14,000","205","4","개인","개인","1999","산호대로25길 39","-","중개거래","경북 구미시","25.07.29"
"3070","부산광역시 부산진구 전포동","927","0927","0000","e편한세상시민공원1단지","84.9939","202504","29","69,000","108동","26","개인","개인","2023","진남로 455","-","중개거래","부산 부산진구","25.07.30"
"3071","서울특별시 은평구 불광동","248","0248","0000","라이프미성","66.7000","202504","29","68,500","9","3","개인","개인","1988","통일로 780","-","중개거래","서울 은평구","25.07.30"
"3072","전북특별자치도 군산시 미장동","558","0558","0000","미장대원칸타빌","74.9900","202504","29","26,350","110","13","개인","개인","2018","미장남로 100","-","중개거래","전북 군산시","25.07.31"
"3073","서울특별시 동작구 사당동","1157","1157","0000","이수역리가","84.9604","202504","29","142,800","105","3","개인","개인","2013","사당로27길 130","-","중개거래","서울 동작구","25.07.30"
"3074","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","59.9750","202504","29","55,000","108","12","개인","개인","2023","동수천로 71","-","중개거래","인천 부평구","25.07.30"
"3075","경상북도 경산시 압량읍 신대리","703","0703","0000","경산푸르지오","74.9670","202504","29","22,000","105동","2","개인","개인","2015","압독4로 12","-","중개거래","경북 경산시","25.07.30"
"3076","경기도 의정부시 호원동","436-1","0436","0001","한주1","84.9700","202504","29","37,800","104","3","개인","개인","1994","평화로290번길 11","-","중개거래","경기 의정부시","25.07.28"
"3077","경기도 화성시 병점구 안녕동","212","0212","0000","아름마을신한미지엔","84.9940","202504","29","27,900","110","14","개인","개인","2006","효행로707번길 7","-","중개거래","경기 화성시","25.06.10"
"3078","서울특별시 서대문구 북아현동","1017","1017","0000","힐스테이트신촌","59.8404","202504","29","135,000","-","5","개인","개인","2020","이화여대8길 123","20250523","중개거래","서울 마포구, 서울 서대문구","-"
"3079","부산광역시 사상구 덕포동","789","0789","0000","남영","48.3900","202504","29","9,350","102","8","개인","법인","1993","백양대로 716","-","중개거래","부산 사상구","25.05.23"
"3080","대전광역시 동구 용운동","783","0783","0000","e편한세상 대전에코포레","84.9964","202504","29","44,000","-","12","개인","개인","2020","용운로 203","20250526","중개거래","대전 동구","-"
"3081","경기도 파주시 아동동","329-6","0329","0006","장안초원1(329-6)","59.7300","202504","29","12,000","101","5","개인","개인","1990","중앙로 280","-","중개거래","경기 파주시","25.05.22"
"3082","대전광역시 서구 관저동","1154","1154","0000","구봉마을9단지","59.9000","202504","29","20,500","910","14","개인","개인","2000","관저서로 20","-","중개거래","대전 서구","25.05.19"
"3083","충청북도 청주시 흥덕구 신봉동","528","0528","0000","주공","53.8500","202504","29","8,560","129","1","법인","개인","1986","1순환로501번길 15","-","직거래","-","25.05.22"
"3084","인천광역시 연수구 청학동","449","0449","0000","성호","84.0200","202504","29","33,700","105","1","개인","개인","1993","솔샘로43번길 15","-","중개거래","인천 연수구","25.05.21"
"3085","광주광역시 광산구 신창동","1110","1110","0000","신창3차부영사랑으로","59.7480","202504","29","22,150","319","9","개인","개인","2006","신창로161번길 34","-","중개거래","광주 광산구","25.05.22"
"3086","대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.8600","202504","29","10,300","101","3","개인","개인","1993","대덕대로1470번길 55","-","중개거래","대전 대덕구","25.05.20"
"3087","경상남도 양산시 주진동","707","0707","0000","양산양우내안애파크뷰","84.7233","202504","29","26,500","106동","2","개인","개인","2020","진등길 15","-","중개거래","경남 양산시","25.05.20"
"3088","경상남도 창원시 마산회원구 내서읍 삼계리","38","0038","0000","한우리","59.8650","202504","29","10,000","105","12","개인","법인","2000","삼계1길 48","-","중개거래","경남 창원시 마산회원구","25.05.22"
"3089","부산광역시 연제구 거제동","139-1","0139","0001","벽산이-메타폴리스","84.4900","202504","29","37,000","101","21","개인","개인","2005","온천천공원길 4","-","중개거래","부산 연제구","25.05.22"
"3090","경상북도 포항시 남구 오천읍 문충리","255","0255","0000","보광그린파크","37.2036","202504","29","3,400","106","2","개인","개인","2000","오어로 303","-","직거래","-","25.05.22"
"3091","부산광역시 사하구 신평동","84-9","0084","0009","한솔베스파트","59.9200","202504","29","18,500","1호","17","개인","개인","2001","신산로 187","-","중개거래","부산 사하구","25.05.22"
"3092","부산광역시 서구 암남동","778","0778","0000","e편한세상송도더퍼스트비치","84.9200","202504","29","54,000","102동","17","개인","개인","2024","충무대로21번길 9","-","직거래","-","25.05.21"
"3093","충청남도 계룡시 엄사면 엄사리","282","0282","0000","성원","58.3200","202504","29","9,500","14","10","개인","개인","1997","엄사중앙로 66","-","중개거래","충남 계룡시","25.05.21"
"3094","대구광역시 달성군 구지면 응암리","1210","1210","0000","과학마을청아람","39.9160","202504","29","10,850","102동","10","개인","개인","2016","과학마을로 70","-","중개거래","대구 달성군","25.05.20"
"3095","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","120.6000","202504","29","91,500","104","6","개인","개인","2012","시민로66번길 21","-","중개거래","경기 성남시 중원구","25.05.20"
"3096","경기도 의정부시 의정부동","377-2","0377","0002","승윤노블리안시티","17.5000","202504","29","5,800","-","7","개인","개인","2016","평화로 443","-","중개거래","경기 의정부시","25.05.19"
"3097","충청남도 천안시 서북구 두정동","1466","1466","0000","두정역펜타폴리스","27.2850","202504","29","6,200","-","6","개인","개인","2013","성정두정로 82","-","중개거래","충남 천안시 서북구","25.05.20"
"3098","경상북도 안동시 태화동","920","0920","0000","안동롯데캐슬","128.1900","202504","29","43,000","102","3","개인","개인","2009","경북대로 340","-","중개거래","경북 안동시","25.05.21"
"3099","충청남도 아산시 음봉면 덕지리","21-3","0021","0003","초원그린타운","39.2700","202504","29","4,900","104","1","개인","개인","1997","음봉로681번길 24","-","중개거래","충남 아산시","25.05.19"
"3100","울산광역시 남구 신정동","1824-3","1824","0003","올림푸스","64.0100","202504","29","21,300","1","5","개인","개인","1986","수암로22번길 15","-","중개거래","울산 남구","25.05.22"
"3101","대구광역시 북구 대현동","535","0535","0000","센트럴파크대현","51.4200","202504","29","24,000","303동","5","개인","개인","2016","대현남로6길 20","-","중개거래","대구 북구","25.05.20"
"3102","경기도 평택시 칠원동","499","0499","0000","동광","59.8540","202504","29","16,800","106","7","개인","개인","2003","원칠원길 56","-","중개거래","경기 평택시","25.05.20"
"3103","울산광역시 중구 우정동","369-1","0369","0001","선경2차","59.7400","202504","29","27,500","208","1","개인","법인","1997","유곡로 10","-","직거래","-","25.05.20"
"3104","울산광역시 동구 전하동","660-2","0660","0002","울산전하푸르지오2단지","59.8984","202504","29","31,000","201","24","개인","법인","2011","봉수로 250","-","직거래","-","25.05.20"
"3105","제주특별자치도 제주시 연동","278-2","0278","0002","제주연동한일베라체더퍼스트","83.6381","202504","29","59,700","101동","4","개인","개인","2023","사장3길 32","-","중개거래","제주 제주시","25.05.20"
"3106","광주광역시 북구 두암동","54","0054","0000","무등파크2","59.9700","202504","29","9,800","제 201","14","개인","개인","1994","월동로 50","-","중개거래","광주 북구","25.05.20"
"3107","경상남도 양산시 동면 석산리","1451-3","1451","0003","양산신도시2차동원로얄듀크","59.9814","202504","29","21,500","106","21","개인","개인","2013","금오15길 9","-","직거래","-","25.05.16"
"3108","충청남도 천안시 서북구 직산읍 삼은리","592","0592","0000","더샵천안레이크마크","65.1500","202504","29","28,100","102동","3","개인","법인","2024","직산로 18-33","-","직거래","-","25.05.16"
"3109","충청남도 계룡시 엄사면 엄사리","282","0282","0000","성원","58.3200","202504","29","9,700","10","12","개인","개인","1997","엄사중앙로 66","-","중개거래","충남 계룡시","25.05.20"
"3110","충청남도 공주시 신관동","5-7","0005","0007","대아아이투빌","84.9350","202504","29","20,000","112","2","개인","개인","2002","번영1로 194-7","-","중개거래","충남 공주시","25.05.20"
"3111","울산광역시 남구 신정동","1853","1853","0000","신성미소지움2단지","59.9900","202504","29","41,000","-","12","개인","개인","2007","대암로 26","20250522","중개거래","울산 남구","-"
"3112","충청남도 홍성군 홍북읍 신경리","1370","1370","0000","한울마을모아엘가아파트","84.9867","202504","29","21,000","-","1","개인","개인","2016","홍학로 88","20250523","중개거래","충남 홍성군","-"
